rentree_scolaire;uai;secteur;ips;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0595398X;privé sous contrat;151.5;50.68036495467745,3.106810557103804;Collège privé de Marcq;Lille;059;Nord;59378;Marcq-en-Baroeul
2023-2024;0620136L;public;90.1;50.61322684479989,2.4582884219253707;Collège Maurice Piquet;Lille;062;Pas-de-Calais;62473;Isbergues
2023-2024;0622791X;public;78.9;50.45054798315641,2.901050524240089;Collège Victor Hugo;Lille;062;Pas-de-Calais;62413;Harnes
2023-2024;0593241C;public;105.3;50.668835311606735,3.126159309653126;Collège Albert Calmette;Lille;059;Nord;59646;Wasquehal
2023-2024;0595169Y;public;78.2;50.70736174269672,3.2319219812883335;Collège Emile Zola;Lille;059;Nord;59650;Wattrelos
2023-2024;0622239X;public;83.9;50.48105884244267,3.0163594766506727;Collège Jean de Saint Aubert;Lille;062;Pas-de-Calais;62907;Libercourt
2023-2024;0594642A;public;86.3;50.977990212987145,2.5813802735220897;Collège Lamartine;Lille;059;Nord;59309;Hondschoote
2023-2024;0623759Z;public;98.6;50.976031340984115,2.0423998218835915;Collège Les Argousiers;Lille;062;Pas-de-Calais;62645;Oye-Plage
2023-2024;0590238N;public;79.7;50.38602048362716,3.107990599187455;Collège Romain Rolland;Lille;059;Nord;59654;Waziers
2023-2024;0592907P;privé sous contrat;77.9;50.67861036143357,3.1914996410208842;Collège privé Saint Michel;Lille;059;Nord;59512;Roubaix
2023-2024;0593233U;public;95.3;50.61198061344932,3.0212300656807765;Collège Professeur Albert Debeyre;Lille;059;Nord;59360;Loos
2023-2024;0594650J;public;95.1;50.838715852774484,2.2165805925832007;Collège Jacques Prévert;Lille;059;Nord;59647;Watten
2023-2024;0595328W;public;82.3;50.62942944171095,3.130319950410022;Collège Simone de Beauvoir;Lille;059;Nord;59009;Villeneuve-d'Ascq
2023-2024;0595713P;public;110.9;50.676100977377324,3.2402496086964256;Collège Alphonse Daudet;Lille;059;Nord;59339;Leers
2023-2024;0596873A;public;131.6;50.51335728894572,3.1655495272417715;Collège Simone Veil;Lille;059;Nord;59129;Cappelle-en-Pévèle
2023-2024;0622575M;public;97.2;50.73867971356185,2.2561397443597024;Collège Blaise Pascal;Lille;062;Pas-de-Calais;62525;Longuenesse
2023-2024;0622907Y;public;76.2;50.74773575087692,2.26844997765505;Collège de La Morinie;Lille;062;Pas-de-Calais;62765;Saint-Omer
2023-2024;0590155Y;public;100.5;50.6356690520175,3.1070795554789647;Collège Descartes;Lille;059;Nord;59410;Mons-en-Baroeul
2023-2024;0592959W;privé sous contrat;113.6;50.7616047561587,3.004620284383206;Collège privé Saint Joseph;Lille;059;Nord;59152;Comines
2023-2024;0594505B;privé sous contrat;119.0;50.69853262090489,2.8467205504689828;Collège privé Saint Martin;Lille;059;Nord;59431;Nieppe
2023-2024;0595178H;public;94.9;50.12237464869933,3.6866104835807536;Collège Dupleix;Lille;059;Nord;59331;Landrecies
2023-2024;0596177U;privé sous contrat;108.4;50.63445759446208,3.06902154747252;Collège privé Sainte Claire;Lille;059;Nord;59350;Lille
2023-2024;0620021L;public;76.0;50.50657276230646,2.4645395665443663;Collège Sévigné;Lille;062;Pas-de-Calais;62048;Auchel
2023-2024;0620195A;public;96.1;50.5853491351186,2.407876354791568;Collège Bernard Chochoy;Lille;062;Pas-de-Calais;62620;Norrent-Fontes
2023-2024;0590002G;public;82.0;50.33181566173207,3.247760687010971;Collège Théodore Monod;Lille;059;Nord;59008;Aniche
2023-2024;0595277R;public;78.6;50.12524217659558,3.421170555940896;Collège Jacques Prévert;Lille;059;Nord;59139;Caudry
2023-2024;0620088J;public;86.3;50.864755312754816,1.867720513867491;Collège Les Quatre Vents;Lille;062;Pas-de-Calais;62397;Guînes
2023-2024;0620219B;public;75.9;50.41874727709966,2.784470023003672;Collège Danielle Darras Riaumont;Lille;062;Pas-de-Calais;62510;Liévin
2023-2024;0622117P;privé sous contrat;130.2;50.463671602004325,1.7655622957323893;Collège privé Sainte Austreberthe;Lille;062;Pas-de-Calais;62588;Montreuil-sur-Mer
2023-2024;0622268D;public;82.7;50.4579458797513,2.622779628122749;Collège Jean Moulin;Lille;062;Pas-de-Calais;62083;Barlin
2023-2024;0622272H;public;85.3;50.50446731136025,2.501379879246545;Collège Emile Zola;Lille;062;Pas-de-Calais;62555;Marles-les-Mines
2023-2024;0593196D;public;103.6;50.61876767819437,3.1561295928053;Collège Arthur Rimbaud;Lille;059;Nord;59009;Villeneuve-d'Ascq
2023-2024;0596529B;public;88.8;50.375061829305764,3.2054296343625706;Collège Maurice Schumann;Lille;059;Nord;59456;Pecquencourt
2023-2024;0620096T;public;82.4;50.41155165553044,2.938790907188865;Collège Jean Macé;Lille;062;Pas-de-Calais;62427;Hénin-Beaumont
2023-2024;0622096S;public;96.0;50.817259140200996,1.7126997626864189;Collège Jean Rostand;Lille;062;Pas-de-Calais;62560;Marquise
2023-2024;0596860L;public;78.9;50.73096722790286,3.1303902796289336;Collège Lucie Aubrac;Lille;059;Nord;59599;Tourcoing
2023-2024;0592713D;public;106.7;51.03904196355942,2.3831006089342375;Collège Guilleminot;Lille;059;Nord;59183;Dunkerque
2023-2024;0593237Y;public;96.1;50.59900639074089,3.091456659932265;Collège Gernez Rieux;Lille;059;Nord;59507;Ronchin
2023-2024;0590159C;public;114.7;50.47035688880419,3.2396793057798456;Collège du Pévèle;Lille;059;Nord;59449;Orchies
2023-2024;0594309N;public;71.4;50.253684615272356,3.901209519412997;Collège Pierre de Ronsard;Lille;059;Nord;59291;Hautmont
