rentree_scolaire;uai;secteur;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0620042J;public;104.2;;104.2;50.52055017805886,2.654258625948719;Lycée général et technologique André Malraux;Lille;062;Pas-de-Calais;62119;Béthune
2023-2024;0620059C;public;91.2;76.2;82.5;50.43788404286816,2.71239976939606;Lycée professionnel Léo Lagrange;Lille;062;Pas-de-Calais;62186;Bully-les-Mines
2023-2024;0595787V;public;;71.5;71.5;50.709979010581684,3.1989101956520534;Lycée professionnel Alain Savary;Lille;059;Nord;59650;Wattrelos
2023-2024;0620121V;public;;78.5;78.5;50.5606929553647,2.4756204331727534;Lycée professionnel Flora Tristan;Lille;062;Pas-de-Calais;62516;Lillers
2023-2024;0620258U;public;;85.9;85.9;50.48887414443361,2.8550802232596024;Lycée professionnel Voltaire;Lille;062;Pas-de-Calais;62895;Wingles
2023-2024;0620043K;public;;78.8;78.8;50.5217622792638,2.649280294405745;Lycée professionnel Salvador Allende;Lille;062;Pas-de-Calais;62119;Béthune
2023-2024;0590010R;public;110.1;;110.1;50.688301741442004,2.876341466792121;Lycée général et technologique Paul Hazard;Lille;059;Nord;59017;Armentières
2023-2024;0590149S;public;94.0;75.4;92.7;50.28194015619967,3.9801699263669823;Lycée polyvalent Pierre Forest;Lille;059;Nord;59392;Maubeuge
2023-2024;0590215N;public;75.0;;75.0;50.730849887755625,3.164309762608626;Lycée général et technologique Sévigné;Lille;059;Nord;59599;Tourcoing
2023-2024;0592932S;privé sous contrat;141.7;;141.7;50.60188630055761,2.918750518757317;Lycée général privé Sainte Marie;Lille;059;Nord;59056;Beaucamps-Ligny
2023-2024;0593058D;privé sous contrat;102.8;89.2;93.8;51.02923867387293,2.378170031013183;Lycée polyvalent privé Vauban - Lycée des métiers;Lille;059;Nord;59183;Dunkerque
2023-2024;0590212K;public;98.2;;98.2;50.71267987272852,3.156950601176176;Lycée général;Lille;059;Nord;59599;Tourcoing
2023-2024;0590184E;public;85.9;;85.9;50.696269940626884,3.196940035518765;Lycée général Jean Rostand;Lille;059;Nord;59512;Roubaix
2023-2024;0590187H;public;;71.5;71.5;50.67762478334806,3.175260110091525;Lycée professionnel Louis Loucheur;Lille;059;Nord;59512;Roubaix
